No.	Size	Cred	Members
1	2	0.13177777777777777	{t2,t5}
2	3	0.09122222222222222	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.154	{t1,t5}
5	3	0.08122222222222222	{t2,t3,t5}
6	4	0.13922222222222222	{t1,t2,t3,t5}
7	2	0.14633333333333334	{t3,t5}
8	3	0.09966666666666667	{t1,t3,t5}
9	3	0.07966666666666666	{t2,t4,t5}
10	4	0.15255555555555556	{t1,t2,t4,t5}
11	2	0.162	{t4,t5}
12	3	0.07744444444444444	{t1,t4,t5}
13	4	0.126	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.07322222222222222	{t3,t4,t5}
16	4	0.13555555555555557	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.16411111111111112	{t1,t2}
19	1	1.0	{t1}
20	2	0.13333333333333333	{t2,t3}
21	3	0.11655555555555555	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14266666666666666	{t1,t3}
24	2	0.138	{t2,t4}
25	3	0.08588888888888889	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.1272222222222222	{t1,t4}
28	3	0.06711111111111111	{t2,t3,t4}
29	4	0.17122222222222222	{t1,t2,t3,t4}
30	2	0.12666666666666668	{t3,t4}
31	3	0.07733333333333334	{t1,t3,t4}

