No.	Size	Cred	Members
1	2	0.14422222222222222	{t2,t5}
2	3	0.08511111111111111	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14244444444444446	{t1,t5}
5	3	0.08577777777777777	{t2,t3,t5}
6	4	0.14866666666666667	{t1,t2,t3,t5}
7	2	0.14433333333333334	{t3,t5}
8	3	0.08511111111111111	{t1,t3,t5}
9	3	0.085	{t2,t4,t5}
10	4	0.1481111111111111	{t1,t2,t4,t5}
11	2	0.13011111111111112	{t4,t5}
12	3	0.08311111111111111	{t1,t4,t5}
13	4	0.14566666666666667	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08466666666666667	{t3,t4,t5}
16	4	0.14577777777777778	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.138	{t1,t2}
19	1	1.0	{t1}
20	2	0.13233333333333333	{t2,t3}
21	3	0.081	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14677777777777778	{t1,t3}
24	2	0.15155555555555555	{t2,t4}
25	3	0.08888888888888889	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.14222222222222222	{t1,t4}
28	3	0.08566666666666667	{t2,t3,t4}
29	4	0.14422222222222222	{t1,t2,t3,t4}
30	2	0.141	{t3,t4}
31	3	0.09022222222222222	{t1,t3,t4}

