No.	Size	Cred	Members
1	2	0.12611111111111112	{t2,t5}
2	3	0.06966666666666667	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.13233333333333333	{t1,t5}
5	3	0.08066666666666666	{t2,t3,t5}
6	4	0.14622222222222223	{t1,t2,t3,t5}
7	2	0.15	{t3,t5}
8	3	0.08044444444444444	{t1,t3,t5}
9	3	0.09155555555555556	{t2,t4,t5}
10	4	0.10344444444444445	{t1,t2,t4,t5}
11	2	0.162	{t4,t5}
12	3	0.08333333333333333	{t1,t4,t5}
13	4	0.16366666666666665	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.10877777777777778	{t3,t4,t5}
16	4	0.1461111111111111	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14933333333333335	{t1,t2}
19	1	1.0	{t1}
20	2	0.1671111111111111	{t2,t3}
21	3	0.09922222222222223	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14444444444444443	{t1,t3}
24	2	0.1351111111111111	{t2,t4}
25	3	0.06266666666666666	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.1471111111111111	{t1,t4}
28	3	0.08911111111111111	{t2,t3,t4}
29	4	0.153	{t1,t2,t3,t4}
30	2	0.1288888888888889	{t3,t4}
31	3	0.07966666666666666	{t1,t3,t4}

