No.	Size	Cred	Members
1	2	0.13477777777777777	{t2,t5}
2	3	0.093	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.12166666666666667	{t1,t5}
5	3	0.09844444444444445	{t2,t3,t5}
6	4	0.14466666666666667	{t1,t2,t3,t5}
7	2	0.15544444444444444	{t3,t5}
8	3	0.08555555555555555	{t1,t3,t5}
9	3	0.07711111111111112	{t2,t4,t5}
10	4	0.13955555555555554	{t1,t2,t4,t5}
11	2	0.1312222222222222	{t4,t5}
12	3	0.07644444444444444	{t1,t4,t5}
13	4	0.155	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.09322222222222222	{t3,t4,t5}
16	4	0.139	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.159	{t1,t2}
19	1	1.0	{t1}
20	2	0.1351111111111111	{t2,t3}
21	3	0.086	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.12966666666666668	{t1,t3}
24	2	0.13077777777777777	{t2,t4}
25	3	0.08566666666666667	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.13833333333333334	{t1,t4}
28	3	0.09377777777777778	{t2,t3,t4}
29	4	0.1501111111111111	{t1,t2,t3,t4}
30	2	0.16144444444444445	{t3,t4}
31	3	0.085	{t1,t3,t4}

