No.	Size	Cred	Members
1	2	0.13766666666666666	{t2,t5}
2	3	0.081	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14155555555555555	{t1,t5}
5	3	0.08633333333333333	{t2,t3,t5}
6	4	0.14244444444444446	{t1,t2,t3,t5}
7	2	0.1421111111111111	{t3,t5}
8	3	0.07888888888888888	{t1,t3,t5}
9	3	0.08955555555555555	{t2,t4,t5}
10	4	0.13933333333333334	{t1,t2,t4,t5}
11	2	0.14355555555555555	{t4,t5}
12	3	0.08688888888888889	{t1,t4,t5}
13	4	0.15	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.07988888888888888	{t3,t4,t5}
16	4	0.14122222222222222	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14444444444444443	{t1,t2}
19	1	1.0	{t1}
20	2	0.14555555555555555	{t2,t3}
21	3	0.08577777777777777	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.13866666666666666	{t1,t3}
24	2	0.1517777777777778	{t2,t4}
25	3	0.08966666666666667	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.14733333333333334	{t1,t4}
28	3	0.08822222222222222	{t2,t3,t4}
29	4	0.144	{t1,t2,t3,t4}
30	2	0.13655555555555557	{t3,t4}
31	3	0.08755555555555555	{t1,t3,t4}

