No.	Size	Cred	Members
1	2	0.14666666666666667	{t2,t5}
2	3	0.09	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14555555555555555	{t1,t5}
5	3	0.095	{t2,t3,t5}
6	4	0.159	{t1,t2,t3,t5}
7	2	0.14555555555555555	{t3,t5}
8	3	0.09111111111111111	{t1,t3,t5}
9	3	0.08877777777777777	{t2,t4,t5}
10	4	0.13322222222222221	{t1,t2,t4,t5}
11	2	0.13055555555555556	{t4,t5}
12	3	0.07988888888888888	{t1,t4,t5}
13	4	0.12766666666666668	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.07733333333333334	{t3,t4,t5}
16	4	0.13266666666666665	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.15366666666666667	{t1,t2}
19	1	1.0	{t1}
20	2	0.14466666666666667	{t2,t3}
21	3	0.08677777777777777	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.1408888888888889	{t1,t3}
24	2	0.15733333333333333	{t2,t4}
25	3	0.09344444444444444	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.131	{t1,t4}
28	3	0.09411111111111112	{t2,t3,t4}
29	4	0.14788888888888888	{t1,t2,t3,t4}
30	2	0.13366666666666666	{t3,t4}
31	3	0.07355555555555555	{t1,t3,t4}

