No.	Size	Cred	Members
1	2	0.15088888888888888	{t2,t5}
2	3	0.08044444444444444	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.1391111111111111	{t1,t5}
5	3	0.09422222222222222	{t2,t3,t5}
6	4	0.14777777777777779	{t1,t2,t3,t5}
7	2	0.13555555555555557	{t3,t5}
8	3	0.07944444444444444	{t1,t3,t5}
9	3	0.08644444444444445	{t2,t4,t5}
10	4	0.14333333333333334	{t1,t2,t4,t5}
11	2	0.15533333333333332	{t4,t5}
12	3	0.09344444444444444	{t1,t4,t5}
13	4	0.14755555555555555	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08077777777777778	{t3,t4,t5}
16	4	0.138	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.13011111111111112	{t1,t2}
19	1	1.0	{t1}
20	2	0.16011111111111112	{t2,t3}
21	3	0.097	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14333333333333334	{t1,t3}
24	2	0.13422222222222221	{t2,t4}
25	3	0.07111111111111111	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.1298888888888889	{t1,t4}
28	3	0.08944444444444444	{t2,t3,t4}
29	4	0.14733333333333334	{t1,t2,t3,t4}
30	2	0.14	{t3,t4}
31	3	0.08511111111111111	{t1,t3,t4}

