No.	Size	Cred	Members
1	2	0.16055555555555556	{t2,t5}
2	3	0.09022222222222222	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.12377777777777778	{t1,t5}
5	3	0.09777777777777778	{t2,t3,t5}
6	4	0.1272222222222222	{t1,t2,t3,t5}
7	2	0.12711111111111112	{t3,t5}
8	3	0.06566666666666666	{t1,t3,t5}
9	3	0.09788888888888889	{t2,t4,t5}
10	4	0.1771111111111111	{t1,t2,t4,t5}
11	2	0.1391111111111111	{t4,t5}
12	3	0.095	{t1,t4,t5}
13	4	0.1358888888888889	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.07466666666666667	{t3,t4,t5}
16	4	0.11677777777777777	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14966666666666667	{t1,t2}
19	1	1.0	{t1}
20	2	0.16444444444444445	{t2,t3}
21	3	0.075	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.13277777777777777	{t1,t3}
24	2	0.12311111111111112	{t2,t4}
25	3	0.09066666666666667	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.16666666666666666	{t1,t4}
28	3	0.07011111111111111	{t2,t3,t4}
29	4	0.156	{t1,t2,t3,t4}
30	2	0.13244444444444445	{t3,t4}
31	3	0.11033333333333334	{t1,t3,t4}

