No.	Size	Cred	Members
1	2	0.12333333333333334	{t2,t5}
2	3	0.07188888888888889	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.139	{t1,t5}
5	3	0.09433333333333334	{t2,t3,t5}
6	4	0.15466666666666667	{t1,t2,t3,t5}
7	2	0.14888888888888888	{t3,t5}
8	3	0.09966666666666667	{t1,t3,t5}
9	3	0.08855555555555555	{t2,t4,t5}
10	4	0.13333333333333333	{t1,t2,t4,t5}
11	2	0.15677777777777777	{t4,t5}
12	3	0.086	{t1,t4,t5}
13	4	0.12511111111111112	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08155555555555556	{t3,t4,t5}
16	4	0.15511111111111112	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14788888888888888	{t1,t2}
19	1	1.0	{t1}
20	2	0.15155555555555555	{t2,t3}
21	3	0.10811111111111112	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14733333333333334	{t1,t3}
24	2	0.13766666666666666	{t2,t4}
25	3	0.069	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.14666666666666667	{t1,t4}
28	3	0.0801111111111111	{t2,t3,t4}
29	4	0.14477777777777778	{t1,t2,t3,t4}
30	2	0.12566666666666668	{t3,t4}
31	3	0.083	{t1,t3,t4}

