No.	Size	Cred	Members
1	2	0.14733333333333334	{t2,t5}
2	3	0.07644444444444444	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.12411111111111112	{t1,t5}
5	3	0.084	{t2,t3,t5}
6	4	0.12844444444444444	{t1,t2,t3,t5}
7	2	0.14655555555555555	{t3,t5}
8	3	0.08566666666666667	{t1,t3,t5}
9	3	0.08177777777777778	{t2,t4,t5}
10	4	0.12855555555555556	{t1,t2,t4,t5}
11	2	0.12877777777777777	{t4,t5}
12	3	0.06711111111111111	{t1,t4,t5}
13	4	0.14966666666666667	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.08844444444444445	{t3,t4,t5}
16	4	0.14422222222222222	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.126	{t1,t2}
19	1	1.0	{t1}
20	2	0.152	{t2,t3}
21	3	0.08877777777777777	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14322222222222222	{t1,t3}
24	2	0.13822222222222222	{t2,t4}
25	3	0.07622222222222222	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.1511111111111111	{t1,t4}
28	3	0.10944444444444444	{t2,t3,t4}
29	4	0.158	{t1,t2,t3,t4}
30	2	0.17522222222222222	{t3,t4}
31	3	0.10066666666666667	{t1,t3,t4}

