No.	Size	Cred	Members
1	2	0.14744444444444443	{t2,t5}
2	3	0.08488888888888889	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14533333333333334	{t1,t5}
5	3	0.09322222222222222	{t2,t3,t5}
6	4	0.15	{t1,t2,t3,t5}
7	2	0.15122222222222223	{t3,t5}
8	3	0.08944444444444444	{t1,t3,t5}
9	3	0.08333333333333333	{t2,t4,t5}
10	4	0.1418888888888889	{t1,t2,t4,t5}
11	2	0.13844444444444445	{t4,t5}
12	3	0.08711111111111111	{t1,t4,t5}
13	4	0.141	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.0898888888888889	{t3,t4,t5}
16	4	0.1521111111111111	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.13733333333333334	{t1,t2}
19	1	1.0	{t1}
20	2	0.14366666666666666	{t2,t3}
21	3	0.083	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14077777777777778	{t1,t3}
24	2	0.13622222222222222	{t2,t4}
25	3	0.08177777777777778	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.15333333333333332	{t1,t4}
28	3	0.07977777777777778	{t2,t3,t4}
29	4	0.12855555555555556	{t1,t2,t3,t4}
30	2	0.1381111111111111	{t3,t4}
31	3	0.08211111111111111	{t1,t3,t4}

