No.	Size	Cred	Members
1	2	0.12755555555555556	{t2,t5}
2	3	0.09355555555555556	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.15933333333333333	{t1,t5}
5	3	0.07555555555555556	{t2,t3,t5}
6	4	0.15477777777777776	{t1,t2,t3,t5}
7	2	0.15511111111111112	{t3,t5}
8	3	0.08877777777777777	{t1,t3,t5}
9	3	0.081	{t2,t4,t5}
10	4	0.12966666666666668	{t1,t2,t4,t5}
11	2	0.13544444444444445	{t4,t5}
12	3	0.078	{t1,t4,t5}
13	4	0.12677777777777777	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.094	{t3,t4,t5}
16	4	0.157	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.143	{t1,t2}
19	1	1.0	{t1}
20	2	0.12488888888888888	{t2,t3}
21	3	0.09222222222222222	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14077777777777778	{t1,t3}
24	2	0.14666666666666667	{t2,t4}
25	3	0.0801111111111111	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.1368888888888889	{t1,t4}
28	3	0.095	{t2,t3,t4}
29	4	0.13044444444444445	{t1,t2,t3,t4}
30	2	0.16955555555555554	{t3,t4}
31	3	0.08388888888888889	{t1,t3,t4}

