No.	Size	Cred	Members
1	2	0.10155555555555555	{t2,t5}
2	3	0.10944444444444444	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.141	{t1,t5}
5	3	0.06755555555555555	{t2,t3,t5}
6	4	0.11433333333333333	{t1,t2,t3,t5}
7	2	0.15533333333333332	{t3,t5}
8	3	0.079	{t1,t3,t5}
9	3	0.07344444444444445	{t2,t4,t5}
10	4	0.17855555555555555	{t1,t2,t4,t5}
11	2	0.13211111111111112	{t4,t5}
12	3	0.07922222222222222	{t1,t4,t5}
13	4	0.13266666666666665	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.07844444444444444	{t3,t4,t5}
16	4	0.13266666666666665	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.20177777777777778	{t1,t2}
19	1	1.0	{t1}
20	2	0.1497777777777778	{t2,t3}
21	3	0.10088888888888889	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.13655555555555557	{t1,t3}
24	2	0.13277777777777777	{t2,t4}
25	3	0.112	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.14422222222222222	{t1,t4}
28	3	0.09355555555555556	{t2,t3,t4}
29	4	0.17677777777777778	{t1,t2,t3,t4}
30	2	0.11588888888888889	{t3,t4}
31	3	0.060444444444444446	{t1,t3,t4}

