No.	Size	Cred	Members
1	2	0.1408888888888889	{t2,t5}
2	3	0.08344444444444445	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.14055555555555554	{t1,t5}
5	3	0.08533333333333333	{t2,t3,t5}
6	4	0.1391111111111111	{t1,t2,t3,t5}
7	2	0.1391111111111111	{t3,t5}
8	3	0.07988888888888888	{t1,t3,t5}
9	3	0.08655555555555555	{t2,t4,t5}
10	4	0.1458888888888889	{t1,t2,t4,t5}
11	2	0.14355555555555555	{t4,t5}
12	3	0.09033333333333333	{t1,t4,t5}
13	4	0.14255555555555555	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.0811111111111111	{t3,t4,t5}
16	4	0.13677777777777778	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.1461111111111111	{t1,t2}
19	1	1.0	{t1}
20	2	0.14777777777777779	{t2,t3}
21	3	0.08944444444444444	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14277777777777778	{t1,t3}
24	2	0.14922222222222223	{t2,t4}
25	3	0.089	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.14322222222222222	{t1,t4}
28	3	0.08477777777777777	{t2,t3,t4}
29	4	0.148	{t1,t2,t3,t4}
30	2	0.1371111111111111	{t3,t4}
31	3	0.08744444444444445	{t1,t3,t4}

