No.	Size	Cred	Members
1	2	0.17333333333333334	{t2,t5}
2	3	0.11	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.1801111111111111	{t1,t5}
5	3	0.09533333333333334	{t2,t3,t5}
6	4	0.15511111111111112	{t1,t2,t3,t5}
7	2	0.11622222222222223	{t3,t5}
8	3	0.076	{t1,t3,t5}
9	3	0.0811111111111111	{t2,t4,t5}
10	4	0.14733333333333334	{t1,t2,t4,t5}
11	2	0.10844444444444444	{t4,t5}
12	3	0.077	{t1,t4,t5}
13	4	0.114	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.06466666666666666	{t3,t4,t5}
16	4	0.15166666666666667	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.148	{t1,t2}
19	1	1.0	{t1}
20	2	0.14577777777777778	{t2,t3}
21	3	0.07033333333333333	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.11288888888888889	{t1,t3}
24	2	0.13166666666666665	{t2,t4}
25	3	0.092	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.139	{t1,t4}
28	3	0.10533333333333333	{t2,t3,t4}
29	4	0.14666666666666667	{t1,t2,t3,t4}
30	2	0.16955555555555554	{t3,t4}
31	3	0.08844444444444445	{t1,t3,t4}

