No.	Size	Cred	Members
1	2	0.12377777777777778	{t2,t5}
2	3	0.07933333333333334	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.13144444444444445	{t1,t5}
5	3	0.08611111111111111	{t2,t3,t5}
6	4	0.1358888888888889	{t1,t2,t3,t5}
7	2	0.16111111111111112	{t3,t5}
8	3	0.08355555555555555	{t1,t3,t5}
9	3	0.06877777777777777	{t2,t4,t5}
10	4	0.12666666666666668	{t1,t2,t4,t5}
11	2	0.13177777777777777	{t4,t5}
12	3	0.09111111111111111	{t1,t4,t5}
13	4	0.14033333333333334	{t2,t3,t4,t5}
14	5	1.0	{t1,t2,t3,t4,t5}
15	3	0.09166666666666666	{t3,t4,t5}
16	4	0.1438888888888889	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14922222222222223	{t1,t2}
19	1	1.0	{t1}
20	2	0.14477777777777778	{t2,t3}
21	3	0.08811111111111111	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.14044444444444446	{t1,t3}
24	2	0.1537777777777778	{t2,t4}
25	3	0.10333333333333333	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.1632222222222222	{t1,t4}
28	3	0.09077777777777778	{t2,t3,t4}
29	4	0.15844444444444444	{t1,t2,t3,t4}
30	2	0.13044444444444445	{t3,t4}
31	3	0.082	{t1,t3,t4}

