No.	Size	Cred	Members
1	2	0.10133333333333333	{t2,t5}
2	3	0.044	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.09555555555555556	{t1,t5}
5	3	0.04633333333333333	{t2,t3,t5}
6	4	0.04666666666666667	{t1,t2,t3,t5}
7	2	0.12244444444444444	{t3,t5}
8	3	0.04044444444444444	{t1,t3,t5}
9	3	0.04577777777777778	{t2,t4,t5}
10	4	0.043	{t1,t2,t4,t5}
11	2	0.115	{t4,t5}
12	3	0.04388888888888889	{t1,t4,t5}
13	4	0.049444444444444444	{t2,t3,t4,t5}
14	5	0.11055555555555556	{t1,t2,t3,t4,t5}
15	3	0.060444444444444446	{t3,t4,t5}
16	4	0.043444444444444445	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.12566666666666668	{t1,t2}
19	1	1.0	{t1}
20	2	0.10455555555555555	{t2,t3}
21	3	0.05355555555555556	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.11611111111111111	{t1,t3}
24	2	0.11577777777777777	{t2,t4}
25	3	0.051333333333333335	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.106	{t1,t4}
28	3	0.043555555555555556	{t2,t3,t4}
29	4	0.04577777777777778	{t1,t2,t3,t4}
30	2	0.11788888888888889	{t3,t4}
31	3	0.047	{t1,t3,t4}
32	3	0.05211111111111111	{t2,t5,t6}
33	4	0.048	{t1,t2,t5,t6}
34	2	0.11344444444444444	{t5,t6}
35	3	0.04555555555555556	{t1,t5,t6}
36	4	0.042888888888888886	{t2,t3,t5,t6}
37	5	0.10233333333333333	{t1,t2,t3,t5,t6}
38	3	0.049777777777777775	{t3,t5,t6}
39	4	0.04733333333333333	{t1,t3,t5,t6}
40	4	0.04611111111111111	{t2,t4,t5,t6}
41	5	0.11455555555555555	{t1,t2,t4,t5,t6}
42	3	0.05177777777777778	{t4,t5,t6}
43	4	0.04566666666666667	{t1,t4,t5,t6}
44	5	0.11277777777777778	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.05655555555555555	{t3,t4,t5,t6}
47	5	0.11	{t1,t3,t4,t5,t6}
48	2	0.11288888888888889	{t2,t6}
49	3	0.05477777777777778	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.10755555555555556	{t1,t6}
52	3	0.04455555555555556	{t2,t3,t6}
53	4	0.04933333333333333	{t1,t2,t3,t6}
54	2	0.10177777777777777	{t3,t6}
55	3	0.04888888888888889	{t1,t3,t6}
56	3	0.051111111111111114	{t2,t4,t6}
57	4	0.05566666666666667	{t1,t2,t4,t6}
58	2	0.116	{t4,t6}
59	3	0.042777777777777776	{t1,t4,t6}
60	4	0.044444444444444446	{t2,t3,t4,t6}
61	5	0.10777777777777778	{t1,t2,t3,t4,t6}
62	3	0.04511111111111111	{t3,t4,t6}
63	4	0.042888888888888886	{t1,t3,t4,t6}

