No.	Size	Cred	Members
1	2	0.13566666666666666	{t2,t5}
2	3	0.05355555555555556	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.08855555555555555	{t1,t5}
5	3	0.048666666666666664	{t2,t3,t5}
6	4	0.035444444444444445	{t1,t2,t3,t5}
7	2	0.11655555555555555	{t3,t5}
8	3	0.04377777777777778	{t1,t3,t5}
9	3	0.04644444444444444	{t2,t4,t5}
10	4	0.03877777777777778	{t1,t2,t4,t5}
11	2	0.13733333333333334	{t4,t5}
12	3	0.04577777777777778	{t1,t4,t5}
13	4	0.035777777777777776	{t2,t3,t4,t5}
14	5	0.07966666666666666	{t1,t2,t3,t4,t5}
15	3	0.052333333333333336	{t3,t4,t5}
16	4	0.04	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.123	{t1,t2}
19	1	1.0	{t1}
20	2	0.09766666666666667	{t2,t3}
21	3	0.04511111111111111	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.10666666666666667	{t1,t3}
24	2	0.11622222222222223	{t2,t4}
25	3	0.031	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.09744444444444444	{t1,t4}
28	3	0.04377777777777778	{t2,t3,t4}
29	4	0.03888888888888889	{t1,t2,t3,t4}
30	2	0.10955555555555556	{t3,t4}
31	3	0.05188888888888889	{t1,t3,t4}
32	3	0.04022222222222222	{t2,t5,t6}
33	4	0.04388888888888889	{t1,t2,t5,t6}
34	2	0.11277777777777778	{t5,t6}
35	3	0.03822222222222222	{t1,t5,t6}
36	4	0.04466666666666667	{t2,t3,t5,t6}
37	5	0.09933333333333333	{t1,t2,t3,t5,t6}
38	3	0.05611111111111111	{t3,t5,t6}
39	4	0.04377777777777778	{t1,t3,t5,t6}
40	4	0.049666666666666665	{t2,t4,t5,t6}
41	5	0.07955555555555556	{t1,t2,t4,t5,t6}
42	3	0.06144444444444445	{t4,t5,t6}
43	4	0.041666666666666664	{t1,t4,t5,t6}
44	5	0.144	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.08555555555555555	{t3,t4,t5,t6}
47	5	0.10644444444444444	{t1,t3,t4,t5,t6}
48	2	0.10466666666666667	{t2,t6}
49	3	0.04544444444444445	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.117	{t1,t6}
52	3	0.05211111111111111	{t2,t3,t6}
53	4	0.048	{t1,t2,t3,t6}
54	2	0.14566666666666667	{t3,t6}
55	3	0.049555555555555554	{t1,t3,t6}
56	3	0.05533333333333333	{t2,t4,t6}
57	4	0.033	{t1,t2,t4,t6}
58	2	0.1238888888888889	{t4,t6}
59	3	0.042555555555555555	{t1,t4,t6}
60	4	0.0651111111111111	{t2,t3,t4,t6}
61	5	0.09844444444444445	{t1,t2,t3,t4,t6}
62	3	0.06933333333333333	{t3,t4,t6}
63	4	0.043	{t1,t3,t4,t6}

