No.	Size	Cred	Members
1	2	0.12633333333333333	{t2,t5}
2	3	0.05011111111111111	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.1238888888888889	{t1,t5}
5	3	0.03866666666666667	{t2,t3,t5}
6	4	0.05511111111111111	{t1,t2,t3,t5}
7	2	0.11922222222222222	{t3,t5}
8	3	0.04011111111111111	{t1,t3,t5}
9	3	0.038	{t2,t4,t5}
10	4	0.020666666666666667	{t1,t2,t4,t5}
11	2	0.1111111111111111	{t4,t5}
12	3	0.04022222222222222	{t1,t4,t5}
13	4	0.050222222222222224	{t2,t3,t4,t5}
14	5	0.091	{t1,t2,t3,t4,t5}
15	3	0.06066666666666667	{t3,t4,t5}
16	4	0.044	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.09311111111111112	{t1,t2}
19	1	1.0	{t1}
20	2	0.1312222222222222	{t2,t3}
21	3	0.051	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.08255555555555555	{t1,t3}
24	2	0.073	{t2,t4}
25	3	0.043666666666666666	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.11322222222222222	{t1,t4}
28	3	0.057888888888888886	{t2,t3,t4}
29	4	0.042666666666666665	{t1,t2,t3,t4}
30	2	0.1322222222222222	{t3,t4}
31	3	0.03866666666666667	{t1,t3,t4}
32	3	0.042222222222222223	{t2,t5,t6}
33	4	0.05355555555555556	{t1,t2,t5,t6}
34	2	0.08633333333333333	{t5,t6}
35	3	0.03988888888888889	{t1,t5,t6}
36	4	0.04477777777777778	{t2,t3,t5,t6}
37	5	0.1398888888888889	{t1,t2,t3,t5,t6}
38	3	0.043444444444444445	{t3,t5,t6}
39	4	0.04088888888888889	{t1,t3,t5,t6}
40	4	0.027333333333333334	{t2,t4,t5,t6}
41	5	0.09733333333333333	{t1,t2,t4,t5,t6}
42	3	0.02322222222222222	{t4,t5,t6}
43	4	0.04044444444444444	{t1,t4,t5,t6}
44	5	0.10444444444444445	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.041777777777777775	{t3,t4,t5,t6}
47	5	0.09988888888888889	{t1,t3,t4,t5,t6}
48	2	0.12766666666666668	{t2,t6}
49	3	0.077	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.12411111111111112	{t1,t6}
52	3	0.05266666666666667	{t2,t3,t6}
53	4	0.05533333333333333	{t1,t2,t3,t6}
54	2	0.08822222222222222	{t3,t6}
55	3	0.04488888888888889	{t1,t3,t6}
56	3	0.04611111111111111	{t2,t4,t6}
57	4	0.0651111111111111	{t1,t2,t4,t6}
58	2	0.11833333333333333	{t4,t6}
59	3	0.05411111111111111	{t1,t4,t6}
60	4	0.07388888888888889	{t2,t3,t4,t6}
61	5	0.15155555555555555	{t1,t2,t3,t4,t6}
62	3	0.06577777777777778	{t3,t4,t6}
63	4	0.06122222222222222	{t1,t3,t4,t6}

