No.	Size	Cred	Members
1	2	0.11944444444444445	{t2,t5}
2	3	0.04544444444444445	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.08433333333333333	{t1,t5}
5	3	0.06077777777777778	{t2,t3,t5}
6	4	0.05722222222222222	{t1,t2,t3,t5}
7	2	0.12877777777777777	{t3,t5}
8	3	0.04744444444444444	{t1,t3,t5}
9	3	0.045	{t2,t4,t5}
10	4	0.04844444444444444	{t1,t2,t4,t5}
11	2	0.09522222222222222	{t4,t5}
12	3	0.034666666666666665	{t1,t4,t5}
13	4	0.03688888888888889	{t2,t3,t4,t5}
14	5	0.09466666666666666	{t1,t2,t3,t4,t5}
15	3	0.03688888888888889	{t3,t4,t5}
16	4	0.03166666666666667	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.09433333333333334	{t1,t2}
19	1	1.0	{t1}
20	2	0.11966666666666667	{t2,t3}
21	3	0.05677777777777778	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.13055555555555556	{t1,t3}
24	2	0.09066666666666667	{t2,t4}
25	3	0.030222222222222223	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.12355555555555556	{t1,t4}
28	3	0.06344444444444444	{t2,t3,t4}
29	4	0.050444444444444445	{t1,t2,t3,t4}
30	2	0.12733333333333333	{t3,t4}
31	3	0.06833333333333333	{t1,t3,t4}
32	3	0.05688888888888889	{t2,t5,t6}
33	4	0.04588888888888889	{t1,t2,t5,t6}
34	2	0.10277777777777777	{t5,t6}
35	3	0.04544444444444445	{t1,t5,t6}
36	4	0.032	{t2,t3,t5,t6}
37	5	0.11877777777777777	{t1,t2,t3,t5,t6}
38	3	0.03688888888888889	{t3,t5,t6}
39	4	0.04088888888888889	{t1,t3,t5,t6}
40	4	0.049666666666666665	{t2,t4,t5,t6}
41	5	0.09133333333333334	{t1,t2,t4,t5,t6}
42	3	0.052	{t4,t5,t6}
43	4	0.06244444444444444	{t1,t4,t5,t6}
44	5	0.09544444444444444	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.023666666666666666	{t3,t4,t5,t6}
47	5	0.12044444444444445	{t1,t3,t4,t5,t6}
48	2	0.09955555555555555	{t2,t6}
49	3	0.054	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.14566666666666667	{t1,t6}
52	3	0.03933333333333333	{t2,t3,t6}
53	4	0.05011111111111111	{t1,t2,t3,t6}
54	2	0.07111111111111111	{t3,t6}
55	3	0.05266666666666667	{t1,t3,t6}
56	3	0.05722222222222222	{t2,t4,t6}
57	4	0.043333333333333335	{t1,t2,t4,t6}
58	2	0.10855555555555556	{t4,t6}
59	3	0.08388888888888889	{t1,t4,t6}
60	4	0.059222222222222225	{t2,t3,t4,t6}
61	5	0.14	{t1,t2,t3,t4,t6}
62	3	0.03588888888888889	{t3,t4,t6}
63	4	0.06266666666666666	{t1,t3,t4,t6}

