No.	Size	Cred	Members
1	2	0.12133333333333333	{t2,t5}
2	3	0.049666666666666665	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.11611111111111111	{t1,t5}
5	3	0.05533333333333333	{t2,t3,t5}
6	4	0.05477777777777778	{t1,t2,t3,t5}
7	2	0.11922222222222222	{t3,t5}
8	3	0.04622222222222222	{t1,t3,t5}
9	3	0.04833333333333333	{t2,t4,t5}
10	4	0.04666666666666667	{t1,t2,t4,t5}
11	2	0.11366666666666667	{t4,t5}
12	3	0.04688888888888889	{t1,t4,t5}
13	4	0.06144444444444445	{t2,t3,t4,t5}
14	5	0.12444444444444444	{t1,t2,t3,t4,t5}
15	3	0.06066666666666667	{t3,t4,t5}
16	4	0.05355555555555556	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.11133333333333334	{t1,t2}
19	1	1.0	{t1}
20	2	0.11877777777777777	{t2,t3}
21	3	0.04711111111111111	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.10877777777777778	{t1,t3}
24	2	0.11144444444444444	{t2,t4}
25	3	0.04477777777777778	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.10344444444444445	{t1,t4}
28	3	0.04844444444444444	{t2,t3,t4}
29	4	0.04822222222222222	{t1,t2,t3,t4}
30	2	0.12144444444444444	{t3,t4}
31	3	0.05455555555555556	{t1,t3,t4}
32	3	0.03933333333333333	{t2,t5,t6}
33	4	0.04044444444444444	{t1,t2,t5,t6}
34	2	0.09833333333333333	{t5,t6}
35	3	0.04655555555555556	{t1,t5,t6}
36	4	0.046	{t2,t3,t5,t6}
37	5	0.09411111111111112	{t1,t2,t3,t5,t6}
38	3	0.04377777777777778	{t3,t5,t6}
39	4	0.03711111111111111	{t1,t3,t5,t6}
40	4	0.03611111111111111	{t2,t4,t5,t6}
41	5	0.09644444444444444	{t1,t2,t4,t5,t6}
42	3	0.047	{t4,t5,t6}
43	4	0.04211111111111111	{t1,t4,t5,t6}
44	5	0.123	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.043222222222222224	{t3,t4,t5,t6}
47	5	0.10866666666666666	{t1,t3,t4,t5,t6}
48	2	0.10911111111111112	{t2,t6}
49	3	0.04611111111111111	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.10744444444444444	{t1,t6}
52	3	0.04844444444444444	{t2,t3,t6}
53	4	0.042222222222222223	{t1,t2,t3,t6}
54	2	0.1121111111111111	{t3,t6}
55	3	0.03855555555555556	{t1,t3,t6}
56	3	0.049444444444444444	{t2,t4,t6}
57	4	0.044444444444444446	{t1,t2,t4,t6}
58	2	0.11022222222222222	{t4,t6}
59	3	0.042555555555555555	{t1,t4,t6}
60	4	0.05411111111111111	{t2,t3,t4,t6}
61	5	0.114	{t1,t2,t3,t4,t6}
62	3	0.05277777777777778	{t3,t4,t6}
63	4	0.049555555555555554	{t1,t3,t4,t6}

