No.	Size	Cred	Members
1	2	0.10611111111111111	{t2,t5}
2	3	0.041666666666666664	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.11288888888888889	{t1,t5}
5	3	0.054	{t2,t3,t5}
6	4	0.04522222222222222	{t1,t2,t3,t5}
7	2	0.11533333333333333	{t3,t5}
8	3	0.049	{t1,t3,t5}
9	3	0.058888888888888886	{t2,t4,t5}
10	4	0.042444444444444444	{t1,t2,t4,t5}
11	2	0.11477777777777778	{t4,t5}
12	3	0.042888888888888886	{t1,t4,t5}
13	4	0.04044444444444444	{t2,t3,t4,t5}
14	5	0.091	{t1,t2,t3,t4,t5}
15	3	0.05388888888888889	{t3,t4,t5}
16	4	0.05255555555555556	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.09744444444444444	{t1,t2}
19	1	1.0	{t1}
20	2	0.106	{t2,t3}
21	3	0.04188888888888889	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.11933333333333333	{t1,t3}
24	2	0.11544444444444445	{t2,t4}
25	3	0.044444444444444446	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.09988888888888889	{t1,t4}
28	3	0.03833333333333333	{t2,t3,t4}
29	4	0.035777777777777776	{t1,t2,t3,t4}
30	2	0.11844444444444445	{t3,t4}
31	3	0.049	{t1,t3,t4}
32	3	0.044333333333333336	{t2,t5,t6}
33	4	0.044222222222222225	{t1,t2,t5,t6}
34	2	0.11933333333333333	{t5,t6}
35	3	0.04988888888888889	{t1,t5,t6}
36	4	0.052222222222222225	{t2,t3,t5,t6}
37	5	0.10166666666666667	{t1,t2,t3,t5,t6}
38	3	0.051333333333333335	{t3,t5,t6}
39	4	0.050444444444444445	{t1,t3,t5,t6}
40	4	0.06066666666666667	{t2,t4,t5,t6}
41	5	0.11233333333333333	{t1,t2,t4,t5,t6}
42	3	0.05311111111111111	{t4,t5,t6}
43	4	0.03844444444444445	{t1,t4,t5,t6}
44	5	0.14433333333333334	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.058777777777777776	{t3,t4,t5,t6}
47	5	0.10844444444444444	{t1,t3,t4,t5,t6}
48	2	0.11233333333333333	{t2,t6}
49	3	0.03833333333333333	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.09877777777777778	{t1,t6}
52	3	0.058333333333333334	{t2,t3,t6}
53	4	0.044444444444444446	{t1,t2,t3,t6}
54	2	0.116	{t3,t6}
55	3	0.04688888888888889	{t1,t3,t6}
56	3	0.05988888888888889	{t2,t4,t6}
57	4	0.04544444444444445	{t1,t2,t4,t6}
58	2	0.11188888888888888	{t4,t6}
59	3	0.03911111111111111	{t1,t4,t6}
60	4	0.04788888888888889	{t2,t3,t4,t6}
61	5	0.1058888888888889	{t1,t2,t3,t4,t6}
62	3	0.04822222222222222	{t3,t4,t6}
63	4	0.04988888888888889	{t1,t3,t4,t6}

