No.	Size	Cred	Members
1	2	0.06788888888888889	{t2,t5}
2	3	0.046	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.095	{t1,t5}
5	3	0.036444444444444446	{t2,t3,t5}
6	4	0.055	{t1,t2,t3,t5}
7	2	0.1378888888888889	{t3,t5}
8	3	0.06055555555555556	{t1,t3,t5}
9	3	0.03877777777777778	{t2,t4,t5}
10	4	0.041555555555555554	{t1,t2,t4,t5}
11	2	0.12177777777777778	{t4,t5}
12	3	0.03711111111111111	{t1,t4,t5}
13	4	0.024333333333333332	{t2,t3,t4,t5}
14	5	0.12522222222222223	{t1,t2,t3,t4,t5}
15	3	0.027666666666666666	{t3,t4,t5}
16	4	0.042	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.14222222222222222	{t1,t2}
19	1	1.0	{t1}
20	2	0.098	{t2,t3}
21	3	0.06233333333333333	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.102	{t1,t3}
24	2	0.129	{t2,t4}
25	3	0.07788888888888888	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.11711111111111111	{t1,t4}
28	3	0.04466666666666667	{t2,t3,t4}
29	4	0.049666666666666665	{t1,t2,t3,t4}
30	2	0.07455555555555556	{t3,t4}
31	3	0.03833333333333333	{t1,t3,t4}
32	3	0.033555555555555554	{t2,t5,t6}
33	4	0.04922222222222222	{t1,t2,t5,t6}
34	2	0.11866666666666667	{t5,t6}
35	3	0.06877777777777777	{t1,t5,t6}
36	4	0.034888888888888886	{t2,t3,t5,t6}
37	5	0.11344444444444444	{t1,t2,t3,t5,t6}
38	3	0.05377777777777778	{t3,t5,t6}
39	4	0.094	{t1,t3,t5,t6}
40	4	0.03422222222222222	{t2,t4,t5,t6}
41	5	0.11255555555555556	{t1,t2,t4,t5,t6}
42	3	0.04455555555555556	{t4,t5,t6}
43	4	0.050888888888888886	{t1,t4,t5,t6}
44	5	0.06944444444444445	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.024444444444444446	{t3,t4,t5,t6}
47	5	0.11888888888888889	{t1,t3,t4,t5,t6}
48	2	0.10077777777777777	{t2,t6}
49	3	0.07066666666666667	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.1341111111111111	{t1,t6}
52	3	0.05577777777777778	{t2,t3,t6}
53	4	0.06166666666666667	{t1,t2,t3,t6}
54	2	0.10133333333333333	{t3,t6}
55	3	0.07311111111111111	{t1,t3,t6}
56	3	0.03244444444444444	{t2,t4,t6}
57	4	0.07044444444444445	{t1,t2,t4,t6}
58	2	0.08555555555555555	{t4,t6}
59	3	0.04044444444444444	{t1,t4,t6}
60	4	0.03766666666666667	{t2,t3,t4,t6}
61	5	0.1292222222222222	{t1,t2,t3,t4,t6}
62	3	0.051333333333333335	{t3,t4,t6}
63	4	0.04111111111111111	{t1,t3,t4,t6}

