No.	Size	Cred	Members
1	2	0.11411111111111111	{t2,t5}
2	3	0.05677777777777778	{t1,t2,t5}
3	1	1.0	{t5}
4	2	0.122	{t1,t5}
5	3	0.04877777777777778	{t2,t3,t5}
6	4	0.058666666666666666	{t1,t2,t3,t5}
7	2	0.10088888888888889	{t3,t5}
8	3	0.05455555555555556	{t1,t3,t5}
9	3	0.04777777777777778	{t2,t4,t5}
10	4	0.050666666666666665	{t1,t2,t4,t5}
11	2	0.12333333333333334	{t4,t5}
12	3	0.058	{t1,t4,t5}
13	4	0.041666666666666664	{t2,t3,t4,t5}
14	5	0.12077777777777778	{t1,t2,t3,t4,t5}
15	3	0.042777777777777776	{t3,t4,t5}
16	4	0.054	{t1,t3,t4,t5}
17	1	1.0	{t2}
18	2	0.11922222222222222	{t1,t2}
19	1	1.0	{t1}
20	2	0.11	{t2,t3}
21	3	0.05266666666666667	{t1,t2,t3}
22	1	1.0	{t3}
23	2	0.11144444444444444	{t1,t3}
24	2	0.11322222222222222	{t2,t4}
25	3	0.04922222222222222	{t1,t2,t4}
26	1	1.0	{t4}
27	2	0.10711111111111112	{t1,t4}
28	3	0.026222222222222223	{t2,t3,t4}
29	4	0.04688888888888889	{t1,t2,t3,t4}
30	2	0.10266666666666667	{t3,t4}
31	3	0.03211111111111111	{t1,t3,t4}
32	3	0.05288888888888889	{t2,t5,t6}
33	4	0.05633333333333333	{t1,t2,t5,t6}
34	2	0.11344444444444444	{t5,t6}
35	3	0.04044444444444444	{t1,t5,t6}
36	4	0.05322222222222222	{t2,t3,t5,t6}
37	5	0.119	{t1,t2,t3,t5,t6}
38	3	0.03977777777777778	{t3,t5,t6}
39	4	0.050666666666666665	{t1,t3,t5,t6}
40	4	0.03866666666666667	{t2,t4,t5,t6}
41	5	0.1371111111111111	{t1,t2,t4,t5,t6}
42	3	0.04711111111111111	{t4,t5,t6}
43	4	0.05466666666666667	{t1,t4,t5,t6}
44	5	0.06655555555555556	{t2,t3,t4,t5,t6}
45	6	1.0	{t1,t2,t3,t4,t5,t6}
46	4	0.03877777777777778	{t3,t4,t5,t6}
47	5	0.09666666666666666	{t1,t3,t4,t5,t6}
48	2	0.1058888888888889	{t2,t6}
49	3	0.06622222222222222	{t1,t2,t6}
50	1	1.0	{t6}
51	2	0.10211111111111111	{t1,t6}
52	3	0.05011111111111111	{t2,t3,t6}
53	4	0.05588888888888889	{t1,t2,t3,t6}
54	2	0.10222222222222223	{t3,t6}
55	3	0.050666666666666665	{t1,t3,t6}
56	3	0.03977777777777778	{t2,t4,t6}
57	4	0.052444444444444446	{t1,t2,t4,t6}
58	2	0.11911111111111111	{t4,t6}
59	3	0.05722222222222222	{t1,t4,t6}
60	4	0.033555555555555554	{t2,t3,t4,t6}
61	5	0.10911111111111112	{t1,t2,t3,t4,t6}
62	3	0.043111111111111114	{t3,t4,t6}
63	4	0.041666666666666664	{t1,t3,t4,t6}

