"","rho","t_l","t_u"
"1",0,1.67021176469875,11.2157769010112
"2",0.01,1.56068968176769,11.0319117059127
"3",0.025,1.46306541961771,10.8680205204441
"4",0.05,1.63342596471544,11.1540210604558
"5",0.1,2.00254047909387,11.7736888971478
"6",0.2,2.87918745074263,13.2454000092913
"7",0.3,4.00630498571962,15.1376000106186
"8",0.4,5.50912836568894,17.6605333457217
"9",0.5,7.61308109764597,21.192640014866
"10",0.6,10.7690101955815,26.4908000185826
"11",0.7,16.0288920254741,35.3210666914434
"12",0.8,26.5486556852593,52.9816000371651
"13",0.9,58.1079466646155,105.963200074331
