"","rho","t_l","t_u"
"1",0,16.4620465409793,46.7277985018208
"2",0.01,16.7207921628124,47.1997964664859
"3",0.025,17.1188623502478,47.9259471813549
"4",0.05,17.8102474126356,49.1871563177064
"5",0.1,19.3082483811424,51.9197761131344
"6",0.2,22.8660006813463,58.4097481272764
"7",0.3,27.4402536387511,66.7539978597443
"8",0.4,33.5392575819576,77.8796641697017
"9",0.5,42.077863102447,93.4555970036427
"10",0.6,54.885771383181,116.819496254554
"11",0.7,76.2322851844024,155.759328339403
"12",0.8,118.925312786851,233.638992509111
"13",0.9,247.004395594192,467.277985018225
