"","rho","t_l","t_u"
"1",0,6.94505789980508,24.5869885721078
"2",0.01,7.08547813559252,24.8353419920281
"3",0.025,7.3015092675732,25.2174241765208
"4",0.05,7.67672123364488,25.8810406022187
"5",0.1,8.48968049346693,27.3188761912309
"6",0.2,10.4204587355442,30.7337357151348
"7",0.3,12.9028879039293,35.1242693887254
"8",0.4,16.2127934617762,40.9783142868463
"9",0.5,20.8466612427617,49.1739771442155
"10",0.6,27.7974629142401,61.4674714302696
"11",0.7,39.382132366704,81.9566285736929
"12",0.8,62.5514712716327,122.934942860541
"13",0.9,132.059487986419,245.869885721085
